"tweet_text","lon","lat","Time","score","Category"
"Court Dumps Lawsuit Against Zillow Over Its Inaccurate 'Zestimates' https://t.co/ewThFiB4rc #Tech #Technology https://t.co/i8ipVezI8o",-81.0348144,34.0007104,2017-08-31 23:31:06,-2,"negative"
"@KelseyBethany Idk how much you're looking to spend a month, but there's a lot of places on https://t.co/Ij9diGReHo… https://t.co/DZPiPc3gTv",-71.8809054,41.7128767,2017-08-31 23:30:42,0,"neutral"
"For just $13.995 million, you can add your name to a list of residents that also includes Frank Sinatra, Mia... https://t.co/ZQp6JiJpfY",-73.212072,44.4758825,2017-08-31 23:30:04,0,"neutral"
"RT @zillow: Small space? No problem! Quick tips to fit bikes, bedding and more inside any place:
https://t.co/IM8BINtfiY https://t.co/2mJbi…",133.775136,-25.274398,2017-08-31 23:23:51,-1,"negative"
"Cake and my Zillow app <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",-111.9264206,41.2360308,2017-08-31 23:17:29,0,"neutral"
"Court Dumps Lawsuit Against Zillow Over Its Inaccurate 'Zestimates' by Tim Cushing via Techdirt. https://t.co/HzID1c8bmQ",-81.6943605,41.49932,2017-08-31 23:03:52,-2,"negative"
"31011 Warder St, San Antonio, FL 33576 | MLS #T2895935 | Zillow #pleaseretweet https://t.co/4r4SImrTdg",-82.2745307,28.3361142,2017-08-31 23:02:56,0,"neutral"
"Wow, check out this 1st floor condo that is close to Fort Myers Beach, Sanibel &amp; Captiva! https://t.co/GrxunJCpTp",-81.9495331,26.5628537,2017-08-31 23:02:08,1,"positive"
"3 Reasons Painting Your Wood Floors Is Not as Crazy as You Think. https://t.co/Ta96lY7FFq https://t.co/YlyK9MJfGT",-95.4612625,30.1658207,2017-08-31 23:01:41,-1,"negative"
"Zillow closing above the 200d today, at long term support. https://t.co/vNRDO6azfC",-117.8236391,33.7420005,2017-08-31 23:01:22,1,"positive"
"IN THE MEDIA: Court Dumps Lawsuit Against Zillow Over Its Inaccurate 'Zestimates' https://t.co/4zC8Tpuc4J",-111.0937311,34.0489281,2017-08-31 23:00:32,-2,"negative"
"Downsizing? That’s so 2016. New data shows more homeowners -- especially millennials -- want to live large: https://t.co/wEur7r3Rav",-104.990251,39.7392358,2017-08-31 23:00:32,0,"neutral"
"From theft to wind, home insurance covers you in the event of the unexpected. To learn about the most common... https://t.co/Cx2Q0sOEYo",-82.2928386,27.9206215,2017-08-31 23:00:03,-1,"negative"
"Check out these must #follow for #realestate on #snapchat https://t.co/8rFmp2aSCe #ghostcodes https://t.co/6SjuGM8mq9",-117.1610838,32.715738,2017-08-31 22:59:22,0,"neutral"
"Call Jim Naulty (916)337-4969
For a private showing
https://t.co/iCOXecwelN",-121.1760583,38.6779591,2017-08-31 22:58:01,0,"neutral"
"So haunted, they had to stop construction. That staircase, tho. https://t.co/kaOUPooOhW",-118.2436849,34.0522342,2017-08-31 22:54:44,0,"neutral"
"Danville IL Real Estate https://t.co/GdcHP6jxhy",-121.9999606,37.8215929,2017-08-31 22:52:24,0,"neutral"
"Squeeze every last bit of storage space out of your dwelling, no matter its size. https://t.co/EO2TixET49",-81.5331286,28.3252878,2017-08-31 22:49:05,0,"neutral"
"Court Dumps Lawsuit Against Zillow Over Its Inaccurate 'Zestimates' https://t.co/th94SvSMsl",-119.4179324,36.778261,2017-08-31 22:48:26,-2,"negative"
"See what I found on @Zillow! https://t.co/xqiaGoiOaK coming soon folks! https://t.co/l523fna5l7",-71.3824374,42.4072107,2017-08-31 22:47:13,0,"neutral"
"Fairfax, VA | Zillowf https://t.co/J2MyYDNm0b",-95.712891,37.09024,2017-08-31 22:46:36,0,"neutral"
"Upsizing on the Upswing: The Big Decision More Homeowners Are Making https://t.co/T1GTDf6sdt https://t.co/ZQNvtodnjq",-91.6656232,41.9778795,2017-08-31 22:45:10,0,"neutral"
"RT @techdirt: Court Dumps Lawsuit Against Zillow Over Its Inaccurate 'Zestimates' https://t.co/yZkBS4n4UH",-112.0740373,33.4483771,2017-08-31 22:44:51,-2,"negative"
"RT @techdirt: Court Dumps Lawsuit Against Zillow Over Its Inaccurate 'Zestimates' https://t.co/yZkBS4n4UH",-118.2436849,34.0522342,2017-08-31 22:44:28,-2,"negative"
"Court Dumps Lawsuit Against Zillow Over Its Inaccurate 'Zestimates': Earlier this year… https://t.co/Xfj5A5zumy",-82.541465,35.565459,2017-08-31 22:43:10,-2,"negative"
"RT @kaggle: Delivering new, daily predictions is a challenge. Read Sr. Data Scientist Andy Martin share how @zillow handles it. https://t.c…",-95.712891,37.09024,2017-08-31 22:42:02,0,"neutral"
"Investor alleges Zillow lied about co-marketing program https://t.co/niRV14YBVY",-90.0715323,29.9510658,2017-08-31 22:38:36,-1,"negative"
"Made the mistake of switching from the ""rent"" option to ""buy"" option on zillow and now I think I need to buy a house <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><U+200D><U+2640><U+FE0F>",-93.097702,41.8780025,2017-08-31 22:38:35,-1,"negative"
"I looked up my parents' property on Zillow today and their house is over $1M. #richparents <ed><U+00A0><U+00BD><ed><U+00B8><U+00AE><ed><U+00A0><U+00BC><ed><U+00BF><U+00A1>",-117.9379952,33.7742692,2017-08-31 22:37:36,0,"neutral"
"Check out this 4bd 3.0ba 2464 sqft home at 3300 Bridge Rd that I found on #Zillow https://t.co/QqTLgoPnFb!",-80.365865,26.190096,2017-08-31 22:37:33,0,"neutral"
"Check out this 4bd 3.0ba 2464 sqft home at 3300 Bridge Rd that I found on #Zillow https://t.co/MU3iQKyXIc",-80.365865,26.190096,2017-08-31 22:37:17,0,"neutral"
"@techdirt 'Zestimates' aren't the only thing Zillow is inaccurate with - They get the zip codes of properties wrong as well.",-73.134961,40.789142,2017-08-31 22:36:43,-1,"negative"
"RT @JennDotSmith: Worth a note: this is for #Boston metro (includes Cambridge and Quincy), so it's actually higher in Boston proper if you…",-71.067605,42.3016305,2017-08-31 22:36:20,2,"positive"
"Court Dumps Lawsuit Against Zillow Over Its Inaccurate 'Zestimates' https://t.co/8mFwMXKfSJ #djlnr https://t.co/DuKVopiAqc",-1.1743197,52.3555177,2017-08-31 22:36:13,-2,"negative"
"Investor alleges Zillow lied about co-marketing program https://t.co/vqKF8Lry4k",-111.9260519,33.4941704,2017-08-31 22:36:03,-1,"negative"
"We just received our 76th review on Zillow and it was from a home seller in Wayland, Massachusetts.   Joanne... https://t.co/l7B2Rc4trx",-71.3489484,42.4603719,2017-08-31 22:35:52,0,"neutral"
"RT @stephcd: sometimes i like to go on zillow and type in the keyword dumbwaiter",-79.3831843,43.653226,2017-08-31 22:34:25,1,"positive"
"Zillow has about the same metro estimate for median listing price. Cambridge is <U+2B06><U+FE0F>, Quincy is <U+2B07><U+FE0F>, Boston is in the… https://t.co/30hhditjac",-71.0588801,42.3600825,2017-08-31 22:33:34,0,"neutral"
"RT @Jonahkingchurch: My new hobby is looking at apartments I can't afford on Zillow",-84.2141701,10.0159394,2017-08-31 22:33:22,1,"positive"
"Worth a note: this is for #Boston metro (includes Cambridge and Quincy), so it's actually higher in Boston proper i… https://t.co/yrxGofMxbU",-71.0588801,42.3600825,2017-08-31 22:33:01,2,"positive"
"Fantastic west side Chapel Valley town home for sale. Beautiful upgrades and right next to the pool. https://t.co/F8oDJlM57k",-103.2310149,44.0805434,2017-08-31 22:31:11,3,"positive"
"Seeing my family home that my whole family &amp; I grew up in in Albuquerque on Zillow after it was taken back from the bank breaks my heart.",-70.2962408,41.6687897,2017-08-31 22:31:10,-1,"negative"
"Peek Inside a Candy-Colored Mid-Century Modern Throwback https://t.co/GN2Z6bqnx9 https://t.co/IYORyduu4O",-122.2015159,47.6101497,2017-08-31 22:29:34,1,"positive"
"8 Hot Landscaping Trends for 2017 https://t.co/oBINNZoHZp",-112.2132489,33.6424431,2017-08-31 22:29:26,1,"positive"
"Check out his Kaggle blog post on how Zillow handles modelling pitfalls.  Written by Sr. Data Scientist Andy Martin. https://t.co/l0xHxIs5T9",-93.711332,41.5772115,2017-08-31 22:28:10,0,"neutral"
"Zillow's agent web hosting for $10 a month isn't bad at all actually.

Looks pretty legit <ed><U+00A0><U+00BD><ed><U+00B8><U+0083>",-117.7149438,33.5236744,2017-08-31 22:26:55,0,"neutral"
"https://t.co/lKzdbuYiAq https://t.co/I7l55mQGQm",-118.4003563,34.0736204,2017-08-31 22:26:02,0,"neutral"
"RT @zillow: Small space? No problem! Quick tips to fit bikes, bedding and more inside any place:
https://t.co/IM8BINtfiY https://t.co/2mJbi…",-118.4003563,34.0736204,2017-08-31 22:25:33,-1,"negative"
"44290 W Adobe Cir, Maricopa, AZ 85139 | MLS #5653764 | Zillow https://t.co/uRvXOzshtR",-82.2359254,27.044224,2017-08-31 22:24:33,0,"neutral"
"Put you in ya place like it's zillow",-95.8100502,29.7948266,2017-08-31 22:24:28,1,"positive"
"202 Avenida La Cuesta
San Clemente, CA 92672
6 beds | 9 baths | 8,500 sqft
<ed><U+00A0><U+00BD><ed><U+00B2><U+00BB> https://t.co/th3oSM4F4H
<ed><U+00A0><U+00BD><ed><U+00B3><U+00B1> (760) 560-83… https://t.co/HJNbvZu5LU",-119.4179324,36.778261,2017-08-31 22:23:03,0,"neutral"
"RT @DebraRemax: Wow! I'm now a master of client happiness! Check out my 50th @PremierAgent review badge: https://t.co/9T87L8fmFO #zillow #t…",-118.2436849,34.0522342,2017-08-31 22:21:56,3,"positive"
"My newest listing, know the house extremely well, if you know anyone who might be interested in it at all, I ask i… https://t.co/wdNV9bpLK8",-115.178402,36.2537135,2017-08-31 22:20:09,1,"positive"
"ZILLOW TIP - Excuse me !! You're wrong ?? Increase in ""duress sales"" means #realestate markets and #economy are getting worse, not better !!",-75.0246312,39.926813,2017-08-31 22:18:38,-2,"negative"
"161 Varney Mill Rd, Bath, ME 04530 | MLS #1323240 | Zillow https://t.co/PUsPzumxPc",-68.7778138,44.8011821,2017-08-31 22:17:36,0,"neutral"
"How I convert leads from Zillow Instant Offers https://t.co/h4K9tLhlR2",-122.4110835,37.6304904,2017-08-31 22:15:28,1,"positive"
"Your New, Bigger Space: 5 Ways to Win at #Upsizing Your #Home via @zillow https://t.co/ybcqKLMTyH",-105.7820674,39.5500507,2017-08-31 22:15:07,1,"positive"
"RT @trdny: Here's why Zillow's stock has fallen 23% since June https://t.co/PMH9i4Flfs (@ebsolomont)",-74.0059413,40.7127837,2017-08-31 22:12:43,-1,"negative"
"Apartments for rent in West Hollywood courtesy of #Zillow  https://t.co/m9yZ29JGNx https://t.co/4nPzbvptFC",-118.3783347,34.0931603,2017-08-31 22:11:56,0,"neutral"
"Here’s why Zillow’s stock has fallen 23% since June https://t.co/XlBYyQAudJ",-74.0059413,40.7127837,2017-08-31 22:11:13,-1,"negative"
"Here’s why Zillow’s stock has fallen 23% since June https://t.co/zVWvymqL0J",-88.8853078,30.3960318,2017-08-31 22:11:11,-1,"negative"
"FINANCIAL TIP - Overpaying and refinancing #realestate can prevent people from buying several #homes during a #lifetime !! #zillow #trulia",-75.0246312,39.926813,2017-08-31 22:09:22,0,"neutral"
"RT @modestproposal1: Phenomenal sociological window

25-34: Tinder, Zillow, Yelp 
55+: Fox News, Solitaire, Weather apps https://t.co/MKP2f…",-95.712891,37.09024,2017-08-31 22:08:46,1,"positive"
"Here's why Zillow's stock has fallen 23% since June https://t.co/wmI8IPGsom (ebsolomont) trdny #therealdeal",-74.0035709,40.735781,2017-08-31 22:07:03,-1,"negative"
"trdny: Here's why Zillow's stock has fallen 23% since June https://t.co/Lvb2nHSYtw (ebsolomont)",-74.0776417,40.7281575,2017-08-31 22:06:24,-1,"negative"
"Investor alleges Zillow lied about co-marketing program https://t.co/JOC8YyOscA",-122.2021071,47.759038,2017-08-31 22:04:11,-1,"negative"
"Here's why Zillow's stock has fallen 23% since June https://t.co/PMH9i4Flfs (@ebsolomont)",-74.0059413,40.7127837,2017-08-31 22:03:56,-1,"negative"
"RT @stephcd: sometimes i like to go on zillow and type in the keyword dumbwaiter",-94.8701751,41.2724818,2017-08-31 22:03:26,1,"positive"
"Lucky dog! With these pet-friendly perks, your canine companion will never have to ruff it.  https://t.co/qt7Vxs6hW0",-75.977985,36.8529263,2017-08-31 22:02:33,1,"positive"
"There's no other way to put it: Moving is stressful. But it doesn't have to be a waking nightmare. Here's how... https://t.co/yq8uVa2ihk",-70.4367642,41.6172921,2017-08-31 22:02:30,-2,"negative"
"Tell your palace guards and court jester to start packing. Any of these for-sale homes could be yours.  https://t.co/W8DrhJLs4I",-74.3473717,40.6589912,2017-08-31 22:01:37,0,"neutral"
"https://t.co/Dfgwg5VUVQ takes on Zillow's Zestimate with ""My Home"". 
https://t.co/W5AvUBZ0m0 https://t.co/ggZ9TkEJBK",-81.7948103,26.1420358,2017-08-31 22:00:50,0,"neutral"
"It takes more than two years before buying the typical U.S. home makes more financial sense than renting it (...  https://t.co/LvibF8ymfU",-84.5499327,33.952602,2017-08-31 22:00:44,0,"neutral"
"Soaking tub with a corner view of the Caribbean? Check. Yoga deck with crashing waves in the background? This pla https://t.co/PvwzEmIqu2",-76.7983067,39.2673283,2017-08-31 22:00:09,-1,"negative"
"Investor alleges Zillow lied about co-marketing program https://t.co/Gjt1KGiMrP",-111.9260519,33.4941704,2017-08-31 21:59:20,-1,"negative"
"Millennial Americans Are Moving to the 'Burbs, Buying Big SUVs via @Bloomberg @zillow  https://t.co/P7uCK6pZwN",-77.0368707,38.9071923,2017-08-31 21:55:05,0,"neutral"
"RT @SvenjaGudell: Think it’s too late to sign up for the $1M Zillow Prize for improving the Zestimate? Think again! https://t.co/ZNxl6hDYdj",-123.1207375,49.2827291,2017-08-31 21:53:26,2,"positive"
"""Where Should I Keep My...?"": Solving the Ultimate Small Space Dilemmas https://t.co/niSKCiM6SR https://t.co/M3CuujzU00",-81.0295793,35.5316576,2017-08-31 21:52:01,0,"neutral"
"Quiz: What's Your Home Design Style? https://t.co/MN4nNT7Elr",-84.4274744,42.722257,2017-08-31 21:50:38,0,"neutral"
"The 4 phases of homeownership #realestate https://t.co/JycgHxTKuK",-117.1610838,32.715738,2017-08-31 21:49:04,0,"neutral"
"Designer Lookbook: Caitlin Murray's Minty Fresh Kitchen Revamp https://t.co/IYn7PLSUxb",-73.7948516,40.7282239,2017-08-31 21:49:00,1,"positive"
"This Waterfront queen bedroom apartment for rent is just minutes to Huntington Village. Living room with picture... https://t.co/rkANA2OQ6h",-73.425676,40.8681539,2017-08-31 21:48:11,0,"neutral"
"Here’s why Zillow’s stock has fallen 23% since June - Zillow Group is on track to make $1 billion this year, bu... https://t.co/h7yMGUuFn9",-74.4056612,40.0583238,2017-08-31 21:46:13,-1,"negative"
"#realestate Here’s why Zillow’s stock has fallen 23% since June https://t.co/oLM5YRRS9Y",-74.0059413,40.7127837,2017-08-31 21:45:51,-1,"negative"
"3 Common Mistakes First-Time #HomeBuyers Make https://t.co/gKhKXjbwUI #HomeBuying #RealEstate",-119.4960106,49.8879519,2017-08-31 21:45:15,-1,"negative"
"With just a little vigilance and prep (and a $15 gadget), you can keep a flooding disaster at bay. https://t.co/dOWXDNueZ6",-82.3940104,34.8526176,2017-08-31 21:45:04,0,"neutral"
"Here’s why Zillow’s stock is down 23% since June: Zillow Group is on… https://t.co/dYCZm4lhsq #Home_Page #Popular #Premier_Agent #realdeal",-73.9441579,40.6781784,2017-08-31 21:35:09,1,"positive"
"These Stylish Floors Will Make You Rethink Your Renovation Plans: https://t.co/ZhS9JG6z17 #homereno #homestyle",-96.740361,32.91391,2017-08-31 21:35:04,1,"positive"
"RT @ByRosenberg: Surprising to anyone in a hot market: 51% of homes nationwide are still worth less than they were 10 years ago https://t.c…",-120.8112522,39.4326311,2017-08-31 21:34:49,2,"positive"
"Lender Spotlight: How One Top-Producer's Inspiring Business Transformation Lead Her to Success https://t.co/l6wBMThHsX",-122.6764815,45.5230622,2017-08-31 21:34:16,3,"positive"
"Also on 10 acres, I also like this too.  (I don't know how to answer any of the obvious questions, that's why I'm... https://t.co/BKKs6LLCAV",-87.9064736,43.0389025,2017-08-31 21:30:22,1,"positive"
"8 Beautiful Home Projects Using Reclaimed Wood - Zillow Porchlight https://t.co/yfjV42lg2y",-111.4979729,40.6460622,2017-08-31 21:30:12,1,"positive"
"Your Realtor, Sylviana of Russell Realty Solutions is a 1st-time Buyer specialist, and a Listing &amp; Marketing... https://t.co/NjRepPRa7Y",-119.4179324,36.778261,2017-08-31 21:27:22,0,"neutral"
"Train, Score, Repeat, Watch Out! Zillow's Andrew Martin on modeling pitfalls in a dynamic world. https://t.co/vFf0Zhgc8V",101.975766,4.210484,2017-08-31 21:26:45,1,"positive"
"Together they are about an acre and a half.  Mm-hmm. https://t.co/kTzU35vLaQ",-87.9064736,43.0389025,2017-08-31 21:25:39,0,"neutral"
"RT @kaggle: Delivering new, daily predictions is a challenge. Read Sr. Data Scientist Andy Martin share how @zillow handles it. https://t.c…",-9.1393366,38.7222524,2017-08-31 21:24:44,0,"neutral"
"Oh I didn't see it -- there are two more together. https://t.co/8L74qyK0Co",-87.9064736,43.0389025,2017-08-31 21:23:48,0,"neutral"
"Train, Score, Repeat, Watch Out! Zillow's Andrew Martin on modeling pitfalls in a dynamic world. https://t.co/JAAGA7rG2K",102.249063,2.194418,2017-08-31 21:22:03,1,"positive"
"202 Avenida La Cuesta
San Clemente, CA 92672
6 beds | 9 baths | 8,500 sqft
<ed><U+00A0><U+00BD><ed><U+00B2><U+00BB> https://t.co/th3oSM4F4H
<ed><U+00A0><U+00BD><ed><U+00B3><U+00B1> (760) 560-83… https://t.co/F90prMlgwB",-119.4179324,36.778261,2017-08-31 21:21:04,0,"neutral"
"Investor alleges Zillow lied about co-marketing program: A Zillow Group shareholder has filed a lawsuit allegi.. https://t.co/kuXcqpd2yI",-95.712891,37.09024,2017-08-31 21:19:57,-1,"negative"
"Investor alleges Zillow lied about co-marketing program: A Zillow Group shareholder has filed a lawsuit allegi.. https://t.co/VgCzcqLSFZ",-95.712891,37.09024,2017-08-31 21:19:56,-1,"negative"
"Just got another 5 star review from a client! 
So fortunate to have such nice clients! 
https://t.co/rwJkfoS8zA",-77.3063733,38.8462236,2017-08-31 21:17:01,2,"positive"
"RT @fakexgf: not to be a freak but i regularly go on zillow and wish i was a real adult with a career and income so i could buy these nice…",-116.419389,34.9592083,2017-08-31 21:13:39,0,"neutral"
"9 Easy Ways to Cut Your Electric Bill by up to $750

With just a few simple adjustments, you can plug into big... https://t.co/rfE7FqHgEy",-86.7816016,36.1626638,2017-08-31 21:13:06,1,"positive"
"RT @54RealtyGroup: 9 Easy Ways to Cut Your Electric Bill by up to $750  https://t.co/utWVKsNRDQ #DIY #homeimprovement",55.198144,24.971585,2017-08-31 21:10:49,1,"positive"
"List your home for 1% with Darrin Talton! Call 702-850-0160 or visit https://t.co/CMlVUvIwBn #LasVegas https://t.co/UaqbXOpfKN",-115.1398296,36.1699412,2017-08-31 21:07:25,0,"neutral"
"The one next store.  Sure.  It makes a total of 28 acres.  I saw that there was extra acreage for negotiable... https://t.co/FHBms9pdfB",-87.9064736,43.0389025,2017-08-31 21:06:44,0,"neutral"
"RT @zillow: These floating homes are calling your name. https://t.co/IUvqHGAZua https://t.co/mHykVplwOx",-83.753428,9.748917,2017-08-31 21:02:01,0,"neutral"
"Best-kept secret in floor refinishing
https://t.co/Br7RHKTxpq
#VittoriaLogli #HomeImprovement https://t.co/6gfwTWaqhI",-87.7878408,42.0697509,2017-08-31 21:00:41,0,"neutral"
"I Spent Two Days in a Castle Just Outside NYC https://t.co/dNC2MIpCWR",-74.948886,39.9688817,2017-08-31 21:00:19,0,"neutral"
"According to @zillow, downsizing is so 2016! New data shows that more homeowners want to live large:… https://t.co/kG64D9USmT",-96.178418,41.2038246,2017-08-31 21:00:19,0,"neutral"
"Is Your Metro in the Top 10 to have hidden home costs? https://t.co/4ePvatG0k3",-95.712891,37.09024,2017-08-31 20:59:33,1,"positive"
"Investor alleges Zillow lied about co-marketing program https://t.co/uG76UAlZ8g",-111.9260519,33.4941704,2017-08-31 20:54:23,-1,"negative"
"How accurate are those #Zillow #Estimates anyway? #RealEstate https://t.co/hW4ddNs4IQ",-118.8073729,34.1466467,2017-08-31 20:53:50,1,"positive"
"Looking for unique flooring for your renovation? Check out these ideas - https://t.co/TWriNs8w61 by @zillow",-73.9732203,40.7498855,2017-08-31 20:53:18,0,"neutral"
"https://t.co/eKJbKekTZ3",-118.8375937,34.1705609,2017-08-31 20:52:03,0,"neutral"
"Here is your chance to own a large tract of land in a great part of Clark county. Call (502) 509--5658.… https://t.co/SyySPFIqKS",-87.6746938,37.9582437,2017-08-31 20:50:08,1,"positive"
"Hitting the market in a few days, Rambler in Chaska.
jay@thehancockteam.com, 612.916.0245
https://t.co/NsuFBZq005… https://t.co/f3OQnQnVi4",-93.5323103,44.8619645,2017-08-31 20:49:33,0,"neutral"
"#openhouse - 3bd 2a 1626 SF home at 14022 Golden Rain Tree Blvd this Sat, 9/2, noon - 2. that I found on #Zillow https://t.co/zfklJJrJIy",-81.3792365,28.5383355,2017-08-31 20:48:59,1,"positive"
"Are you on Zillow? Check out my profile and contact me for any of your Real Estate needs. #RealEstate #Zillow… https://t.co/HGFgLu1fJv",-111.9260519,33.4941704,2017-08-31 20:47:17,0,"neutral"
"Train, Score, Repeat, Watch Out! Zillow's Andrew Martin on modeling pitfalls in a dynamic world. https://t.co/0ie1kTkyOk",-118.2436849,34.0522342,2017-08-31 20:47:08,1,"positive"
"RT @jdsboston: depends on type of update. thnk of Aphone. a)zero day security update? push now! b) zillow app fx update? push asynch in sle…",-121.6957863,37.931868,2017-08-31 20:41:24,0,"neutral"
"Here is the URL for Zillow, in case a certain sheriff wants to move far, far away from Milwaukee and Wisconsin:  https://t.co/R7C724CDCO",-88.2314813,43.0116784,2017-08-31 20:40:12,0,"neutral"
"RT @datascigeek: Train, Score, Repeat, Watch Out! Zillow's Andrew Martin on modeling pitfalls in a dynamic world. https://t.co/FQy7S4yt6T #…",-9.1393366,38.7222524,2017-08-31 20:38:44,1,"positive"
"Train, Score, Repeat, Watch Out! Zillow's Andrew Martin on modeling pitfalls in a dynamic world. https://t.co/FQy7S4yt6T #datascience #mac…",-122.35622,48.424995,2017-08-31 20:38:00,1,"positive"
"Just moved into a small space? Make it feel better with these design tricks: via @zillow https://t.co/AXOhyM9bUD https://t.co/8yx6ppyp7c",-117.7325848,33.9898188,2017-08-31 20:37:43,1,"positive"
"Congrats to our happy client for acquiring this great unit at the new Pullman Place, steps to Whole Foods in the... https://t.co/6kGfXK8b1T",-77.0368707,38.9071923,2017-08-31 20:37:37,2,"positive"
"Link to my Zillow profile where you can read my bio and reviews! 

https://t.co/HT8uMcnF8Z https://t.co/3be2xn3Jz4",-78.358616,38.9887199,2017-08-31 20:34:01,0,"neutral"
"RT @kaggle: Delivering new, daily predictions is a challenge. Read Sr. Data Scientist Andy Martin share how @zillow handles it. https://t.c…",10.7522454,59.9138688,2017-08-31 20:33:13,0,"neutral"
"tiamtravis just reviewed me on #Zillow https://t.co/I0zLVCKC6f",-123.0867536,44.0520691,2017-08-31 20:31:11,0,"neutral"
"https://t.co/61oXxpyumN takes on #Zillow https://t.co/mecor1iAH0",-118.2436849,34.0522342,2017-08-31 20:30:12,0,"neutral"
"PRICE REDUCTION on our lovely listing located at 3645 Homewood! Check out more details here: https://t.co/HQDa4nKQf7 https://t.co/jCrHYtczOe",-83.555212,41.6639383,2017-08-31 20:30:10,1,"positive"
"I closed on this adorable Hyde Park home tTODAY. This was a ""for sale by owner"" and although I always encourage... https://t.co/WY7nJH2SBC",-84.5120196,39.1031182,2017-08-31 20:30:04,2,"positive"
"DIY Backyard Fire Pit: Build It in Just 7 Easy Steps

The perfect backdrop for summer fun is closer than you... https://t.co/bWdbocn5me",-86.7816016,36.1626638,2017-08-31 20:26:07,3,"positive"
"Price Reduction to $134,000! Check out this 3bd 2.0ba 1168 sqft home at 47878 Jones Rd that I found on #Zillow https://t.co/VIg9D3guew",-123.0867536,44.0520691,2017-08-31 20:24:57,0,"neutral"
"Check out Heather Anderson's profile on #Zillow https://t.co/bdlBGVsPH6",-96.6397822,33.1972465,2017-08-31 20:22:59,0,"neutral"
"#SmallSpace? Read this article on how to fit your stuff in there! https://t.co/vNI4ffpDIx",-75.6971931,45.4215296,2017-08-31 20:20:04,0,"neutral"
"https://t.co/c5QO5mWei9 Designer Lookbook: Caitlin Murray's Minty Fresh Kitchen Revamp #Zillow https://t.co/S1HpxtlfWC",-111.0937311,34.0489281,2017-08-31 20:19:11,1,"positive"
"RT @zillow: So what are closing costs and how much are they? Find a complete breakdown here: https://t.co/ijVTR1WuaB https://t.co/PHRY1TMeNY",-96.8236116,33.1506744,2017-08-31 20:16:36,-1,"negative"
"RT @zillow: Is it cheaper for you to rent or buy? This Rent vs. Buy Calculator can help you find out.  https://t.co/grZabZFCfE https://t.co…",-96.8236116,33.1506744,2017-08-31 20:16:11,1,"positive"
"Summer is coming to a close, here are some tasks you should consider before it's over! https://t.co/yn84zFPLu6",-117.7325848,33.9898188,2017-08-31 20:16:05,0,"neutral"
"Do you think you can't own a home in #LasVegas? Have at least 640 credit score? https://t.co/CMlVUvIwBn https://t.co/uZ2M2RdQK0",-115.1398296,36.1699412,2017-08-31 20:15:18,0,"neutral"
